cod_ibge;municipios;renda_per_capita
3500000;Estado sem especificação;
3500105;Adamantina;1370865.00
3500204;Adolfo;115489.00
3500303;Aguaí;1314737.00
3500402;Águas da Prata;209003.00
3500501;Águas de Lindóia;585603.00
3500550;Águas de Santa Bárbara;217295.00
3500600;Águas de São Pedro;147855.00
3500709;Agudos;2638622.00
3500758;Alambari;129389.00
3500808;Alfredo Marcondes;120354.00
3500907;Altair;112274.00
3501004;Altinópolis;833396.00
3501103;Alto Alegre;11584.00
3501152;Alumínio;3982313.00
3501202;Álvares Florence;124350.00
3501301;Álvares Machado;709875.00
3501400;Álvaro de Carvalho;58546.00
3501509;Alvinlândia;58404.00
3501608;Americana;15217279.00
3501707;Américo Brasiliense;1230443.00
3501806;Américo de Campos;126802.00
3501905;Amparo;5152155.00
3502002;Analândia;208314.00
3502101;Andradina;2845285.00
3502200;Angatuba;1474152.00
3502309;Anhembi;169558.00
3502408;Anhumas;105620.00
3502507;Aparecida;1041067.00
3502606;Aparecida d'Oeste;151539.00
3502705;Apiaí;897712.00
3502754;Araçariguama;4814503.00
3502804;Araçatuba;9017957.00
3502903;Araçoiaba da Serra;1205883.00
3503000;Aramina;150276.00
3503109;Arandu;194817.00
3503158;Arapeí;45568.00
3503208;Araraquara;11953237.00
3503307;Araras;6942567.00
3503356;Arco Íris;62095.00
3503406;Arealva;227082.00
3503505;Areias;58113.00
3503604;Areiópolis;163060.00
3503703;Ariranha;1136911.00
3503802;Artur Nogueira;1721737.00
3503901;Arujá;8293370.00
3503950;Aspásia;39545.00
3504008;Assis;4082515.00
3504107;Atibaia;8361062.00
3504206;Auriflama;358543.00
3504305;Avaí;376093.00
3504404;Avanhandava;199389.00
3504503;Avaré;3278921.00
3504602;Bady Bassitt;551848.00
3504701;Balbinos;65400.00
3504800;Bálsamo;278641.00
3504909;Bananal;216018.00
3505005;Barão de Antonina;74956.00
3505104;Barbosa;109124.00
3505203;Bariri;1623405.00
3505302;Barra Bonita;1515652.00
3505351;Barra do Chapéu;133738.00
3505401;Barra do Turvo;125820.00
3505500;Barretos;5903515.00
3505609;Barrinha;624816.00
3505708;Barueri;58027666.00
3505807;Bastos;1067216.00
3505906;Batatais;2416802.00
3506003;Bauru;16721368.00
3506102;Bebedouro;4080484.00
3506201;Bento de Abreu;210459.00
3506300;Bernardino de Campos;377950.00
3506359;Bertioga;2067677.00
3506409;Bilac;292576.00
3506508;Birigui;3947388.00
3506607;Biritiba Mirim;971015.00
3506706;Boa Esperança do Sul;380753.00
3506805;Bocaina;281963.00
3506904;Bofete;212434.00
3507001;Boituva;3393228.00
3507100;Bom Jesus dos Perdões;1463036.00
3507159;Bom Sucesso de Itararé;63856.00
3507209;Borá;74195.00
3507308;Boracéia;519153.00
3507407;Borborema;518182.00
3507456;Borebi;73943.00
3507506;Botucatu;5979359.00
3507605;Bragança Paulista;7954300.00
3507704;Braúna;120686.00
3507753;Brejo Alegre;75675.00
3507803;Brodowski;894830.00
3507902;Brotas;1123986.00
3508009;Buri;684130.00
3508108;Buritama;627565.00
3508207;Buritizal;244488.00
3508306;Cabrália Paulista;102881.00
3508405;Cabreúva;5961333.00
3508504;Caçapava;5214553.00
3508603;Cachoeira Paulista;673632.00
3508702;Caconde;574394.00
3508801;Cafelândia;682544.00
3508900;Caiabu;69806.00
3509007;Caieiras;4858858.00
3509106;Caiuá;96254.00
3509205;Cajamar;22713160.00
3509254;Cajati;1755226.00
3509304;Cajobi;170916.00
3509403;Cajuru;761749.00
3509452;Campina do Monte Alegre;151086.00
3509502;Campinas;72946774.00
3509601;Campo Limpo Paulista;2530950.00
3509700;Campos do Jordão;1449808.00
3509809;Campos Novos Paulista;194705.00
3509908;Cananéia;264410.00
3509957;Canas;130060.00
3510005;Cândido Mota;1518347.00
3510104;Cândido Rodrigues;107107.00
3510153;Canitar;164318.00
3510203;Capão Bonito;1269097.00
3510302;Capela do Alto;392353.00
3510401;Capivari;2990809.00
3510500;Caraguatatuba;4532235.00
3510609;Carapicuíba;6854705.00
3510708;Cardoso;321119.00
3510807;Casa Branca;1179141.00
3510906;Cássia dos Coqueiros;293111.00
3511003;Castilho;1388287.00
3511102;Catanduva;5218361.00
3511201;Catiguá;152901.00
3511300;Cedral;533104.00
3511409;Cerqueira César;956913.00
3511508;Cerquilho;2343905.00
3511607;Cesário Lange;740569.00
3511706;Charqueada;515122.00
3511904;Clementina;266344.00
3512001;Colina;186410.00
3512100;Colômbia;1541673.00
3512209;Conchal;373218.00
3512308;Conchas;859274.00
3512407;Cordeirópolis;432993.00
3512506;Coroados;4107826.00
3512605;Coronel Macedo;218777.00
3512704;Corumbataí;141157.00
3512803;Cosmópolis;345025.00
3512902;Cosmorama;2109639.00
3513009;Cotia;506809.00
3513108;Cravinhos;16111164.00
3513207;Cristais Paulista;1753136.00
3513306;Cruzália;346565.00
3513405;Cruzeiro;137663.00
3513504;Cubatão;3182372.00
3513603;Cunha;21946471.00
3513702;Descalvado;326362.00
3513801;Diadema;2081161.00
3513850;Dirce Reis;18484355.00
3513900;Divinolândia;69826.00
3514007;Dobrada;491457.00
3514106;Dois Córregos;138926.00
3514205;Dolcinópolis;835299.00
3514304;Dourado;58946.00
3514403;Dracena;802299.00
3514502;Duartina;1444977.00
3514601;Dumont;252625.00
3514700;Echaporã;342331.00
3514809;Eldorado;152431.00
3514908;Elias Fausto;329349.00
3514924;Elisiário;1004655.00
3514957;Embaúba;76050.00
3515004;Embu das Artes;57200.00
3515103;Embu-Guaçu;14314753.00
3515129;Emilianópolis;1456125.00
3515152;Engenheiro Coelho;79174.00
3515186;Espírito Santo do Pinhal;661053.00
3515194;Espírito Santo do Turvo;2065823.00
3515202;Estrela d'Oeste;91772.00
3515301;Estrela do Norte;389432.00
3515350;Euclides da Cunha Paulista;753257.00
3515400;Fartura;62446.00
3515509;Fernandópolis;136498.00
3515608;Fernando Prestes;473712.00
3515657;Fernão;205593.00
3515707;Ferraz de Vasconcelos;2468766.00
3515806;Flora Rica;80954.00
3515905;Floreal;4740673.00
3516002;Flórida Paulista;42156.00
3516101;Florínia;81886.00
3516200;Franca;264841.00
3516309;Francisco Morato;171948.00
3516408;Franco da Rocha;11276086.00
3516507;Gabriel Monteiro;1872466.00
3516606;Gália;4297870.00
3516705;Garça;93704.00
3516804;Gastão Vidigal;172719.00
3516853;Gavião Peixoto;1725227.00
3516903;General Salgado;85828.00
3517000;Getulina;1184185.00
3517109;Glicério;275099.00
3517208;Guaiçara;215987.00
3517307;Guaimbê;125314.00
3517406;Guaíra;232240.00
3517505;Guapiaçu;442961.00
3517604;Guapiara;2704845.00
3517703;Guará;896415.00
3517802;Guaraçaí;439111.00
3517901;Guaraci;618205.00
3518008;Guarani d'Oeste;326571.00
3518107;Guarantã;375452.00
3518206;Guararapes;37039.00
3518305;Guararema;196318.00
3518404;Guaratinguetá;1199677.00
3518503;Guareí;1546741.00
3518602;Guariba;7877882.00
3518701;Guarujá;313680.00
3518800;Guarulhos;1135133.00
3518859;Guatapará;10494252.00
3518909;Guzolândia;77376466.00
3519006;Herculândia;245363.00
3519055;Holambra;93585.00
3519071;Hortolândia;355955.00
3519105;Iacanga;1463401.00
3519204;Iacri;18377821.00
3519253;Iaras;658009.00
3519303;Ibaté;316795.00
3519402;Ibirá;168922.00
3519501;Ibirarema;1159253.00
3519600;Ibitinga;318126.00
3519709;Ibiúna;244614.00
3519808;Icém;1965222.00
